# ind =     1, ny =  2000, ndof =     5, ymax =  2.3387059397936E+01
 0.0000000000000E+00 -5.4960270378351E-11  7.3648896218913E-01  0.0000000000000E+00  3.3960754006700E-01  1.0400794443238E-10
 4.8742582899583E-01  7.1765066244533E-03  5.0031955044975E-01  0.0000000000000E+00  3.3589633716244E-01 -7.4063224619756E-03
 4.9929791198984E-01  7.2687891162473E-03  4.9497536931546E-01  0.0000000000000E+00  3.3560689894741E-01 -7.5002533496024E-03
 5.1116895441982E-01  7.3579035556002E-03  4.8965760274815E-01  0.0000000000000E+00  3.3530353455792E-01 -7.5908665502711E-03
 5.2303894380611E-01  7.4439000686920E-03  4.8436660567448E-01  0.0000000000000E+00  3.3498599218969E-01 -7.6782155104411E-03
 5.3490786812521E-01  7.5268283155011E-03  4.7910272403264E-01  0.0000000000000E+00  3.3465402612731E-01 -7.7623532167837E-03
 5.4677571580227E-01  7.6067374808609E-03  4.7386629483705E-01  0.0000000000000E+00  3.3430739682528E-01 -7.8433321835860E-03
 5.5864247570366E-01  7.6836762666108E-03  4.6865764624304E-01  0.0000000000000E+00  3.3394587098811E-01 -7.9212044410748E-03
 5.7050813712970E-01  7.7576928838680E-03  4.6347709761115E-01  0.0000000000000E+00  3.3356922164945E-01 -7.9960215244194E-03
 5.8237268980729E-01  7.8288350462252E-03  4.5832495957122E-01  0.0000000000000E+00  3.3317722824997E-01 -8.0678344635110E-03
 5.9423612388278E-01  7.8971499633925E-03  4.5320153408643E-01  0.0000000000000E+00  3.3276967671398E-01 -8.1366937737559E-03
 6.0609842991479E-01  7.9626843353874E-03  4.4810711451718E-01  0.0000000000000E+00  3.3234635952469E-01 -8.2026494471690E-03
 6.1795959886719E-01  8.0254843473380E-03  4.4304198568488E-01  0.0000000000000E+00  3.3190707579792E-01 -8.2657509443316E-03
 6.2981962210205E-01  8.0855956648130E-03  4.3800642393574E-01  0.0000000000000E+00  3.3145163135418E-01 -8.3260471876244E-03
 6.4167849137279E-01  8.1430634298574E-03  4.3300069720445E-01  0.0000000000000E+00  3.3097983878900E-01 -8.3835865540791E-03
 6.5353619881730E-01  8.1979322570189E-03  4.2802506507792E-01  0.0000000000000E+00  3.3049151754143E-01 -8.4384168698382E-03
 6.6539273695120E-01  8.2502462307719E-03  4.2307977885916E-01  0.0000000000000E+00  3.2998649396057E-01 -8.4905854049593E-03
 6.7724809866114E-01  8.3000489026864E-03  4.1816508163091E-01  0.0000000000000E+00  3.2946460137002E-01 -8.5401388688166E-03
 6.8910227719823E-01  8.3473832893128E-03  4.1328120831973E-01  0.0000000000000E+00  3.2892568013018E-01 -8.5871234061082E-03
 7.0095526617146E-01  8.3922918710000E-03  4.0842838575993E-01  0.0000000000000E+00  3.2836957769823E-01 -8.6315845937438E-03
 7.1280705954132E-01  8.4348165904500E-03  4.0360683275767E-01  0.0000000000000E+00  3.2779614868584E-01 -8.6735674381652E-03
 7.2465765161337E-01  8.4749988523219E-03  3.9881676015541E-01  0.0000000000000E+00  3.2720525491435E-01 -8.7131163729466E-03
 7.3650703703201E-01  8.5128795230305E-03  3.9405837089611E-01  0.0000000000000E+00  3.2659676546731E-01 -8.7502752578123E-03
 7.4835521077425E-01  8.5484989310917E-03  3.8933186008807E-01  0.0000000000000E+00  3.2597055674058E-01 -8.7850873773280E-03
 7.6020216814359E-01  8.5818968678370E-03  3.8463741506965E-01  0.0000000000000E+00  3.2532651248950E-01 -8.8175954405067E-03
 7.7204790476399E-01  8.6131125888065E-03  3.7997521547444E-01  0.0000000000000E+00  3.2466452387339E-01 -8.8478415810581E-03
 7.8389241657389E-01  8.6421848149218E-03  3.7534543329630E-01  0.0000000000000E+00  3.2398448949701E-01 -8.8758673580809E-03
 7.9573569982036E-01  8.6691517347638E-03  3.7074823295505E-01  0.0000000000000E+00  3.2328631544911E-01 -8.9017137570250E-03
 8.0757775105330E-01  8.6940510069786E-03  3.6618377136228E-01  0.0000000000000E+00  3.2256991533805E-01 -8.9254211914296E-03
 8.1941856711968E-01  8.7169197628454E-03  3.6165219798717E-01  0.0000000000000E+00  3.2183521032400E-01 -8.9470295049748E-03
 8.3125814515799E-01  8.7377946096607E-03  3.5715365492303E-01  0.0000000000000E+00  3.2108212914833E-01 -8.9665779737395E-03
 8.4309648259261E-01  8.7567116337516E-03  3.5268827695372E-01  0.0000000000000E+00  3.2031060815931E-01 -8.9841053096737E-03
 8.5493357712836E-01  8.7737064047787E-03  3.4825619162058E-01  0.0000000000000E+00  3.1952059133491E-01 -8.9996496636418E-03
 8.6676942674513E-01  8.7888139796051E-03  3.4385751928969E-01  0.0000000000000E+00  3.1871203030198E-01 -9.0132486289226E-03
 8.7860402969255E-01  8.8020689066116E-03  3.3949237321922E-01  0.0000000000000E+00  3.1788488435193E-01 -9.0249392458541E-03
 8.9043738448473E-01  8.8135052306923E-03  3.3516085962735E-01  0.0000000000000E+00  3.1703912045323E-01 -9.0347580058662E-03
 9.0226948989516E-01  8.8231564981551E-03  3.3086307776033E-01  0.0000000000000E+00  3.1617471326009E-01 -9.0427408565595E-03
 9.1410034495156E-01  8.8310557618478E-03  3.2659911996090E-01  0.0000000000000E+00  3.1529164511769E-01 -9.0489232068981E-03
 9.2592994893095E-01  8.8372355868777E-03  3.2236907173708E-01  0.0000000000000E+00  3.1438990606376E-01 -9.0533399323206E-03
 9.3775830135467E-01  8.8417280563266E-03  3.1817301183124E-01  0.0000000000000E+00  3.1346949382652E-01 -9.0560253809071E-03
 9.4958540198355E-01  8.8445647772158E-03  3.1401101228961E-01  0.0000000000000E+00  3.1253041381899E-01 -9.0570133790342E-03
 9.6141125081313E-01  8.8457768868285E-03  3.0988313853180E-01  0.0000000000000E+00  3.1157267912945E-01 -9.0563372379743E-03
 9.7323584806896E-01  8.8453950588732E-03  3.0578944942102E-01  0.0000000000000E+00  3.1059631050828E-01 -9.0540297603381E-03
 9.8505919420198E-01  8.8434495103751E-03  3.0172999733454E-01  0.0000000000000E+00  3.0960133635106E-01 -9.0501232465035E-03
 9.9688128988393E-01  8.8399700081716E-03  2.9770482823426E-01  0.0000000000000E+00  3.0858779267769E-01 -9.0446495020160E-03
 1.0087021360029E+00  8.8349858761550E-03  2.9371398173783E-01  0.0000000000000E+00  3.0755572310796E-01 -9.0376398444964E-03
 1.0205217336589E+00  8.8285260020480E-03  2.8975749118995E-01  0.0000000000000E+00  3.0650517883319E-01 -9.0291251110762E-03
 1.0323400841594E+00  8.8206188446835E-03  2.8583538373419E-01  0.0000000000000E+00  3.0543621858405E-01 -9.0191356656903E-03
 1.0441571890154E+00  8.8112924414870E-03  2.8194768038490E-01  0.0000000000000E+00  3.0434890859466E-01 -9.0077014068857E-03
 1.0559730499367E+00  8.8005744157255E-03  2.7809439609949E-01  0.0000000000000E+00  3.0324332256273E-01 -8.9948517756884E-03
 1.0677876688282E+00  8.7884919840456E-03  2.7427553985111E-01  0.0000000000000E+00  3.0211954160601E-01 -8.9806157630144E-03
 1.0796010477856E+00  8.7750719641275E-03  2.7049111470146E-01  0.0000000000000E+00  3.0097765421496E-01 -8.9650219182922E-03
 1.0914131890914E+00  8.7603407823939E-03  2.6674111787416E-01  0.0000000000000E+00  2.9981775620146E-01 -8.9480983569586E-03
 1.1032240952109E+00  8.7443244815491E-03  2.6302554082810E-01  0.0000000000000E+00  2.9863995064399E-01 -8.9298727688859E-03
 1.1150337687885E+00  8.7270487285677E-03  2.5934436933127E-01  0.0000000000000E+00  2.9744434782888E-01 -8.9103724265644E-03
 1.1268422126436E+00  8.7085388222132E-03  2.5569758353483E-01  0.0000000000000E+00  2.9623106518791E-01 -8.8896241931404E-03
 1.1386494297670E+00  8.6888197010913E-03  2.5208515804728E-01  0.0000000000000E+00  2.9500022723211E-01 -8.8676545310516E-03
 1.1504554233171E+00  8.6679159514015E-03  2.4850706200925E-01  0.0000000000000E+00  2.9375196548213E-01 -8.8444895097531E-03
 1.1622601966163E+00  8.6458518145630E-03  2.4496325916815E-01  0.0000000000000E+00  2.9248641839471E-01 -8.8201548144653E-03
 1.1740637531475E+00  8.6226511951828E-03  2.4145370795317E-01  0.0000000000000E+00  2.9120373128560E-01 -8.7946757544264E-03
 1.1858660965500E+00  8.5983376687597E-03  2.3797836155074E-01  0.0000000000000E+00  2.8990405624918E-01 -8.7680772708208E-03
 1.1976672306168E+00  8.5729344894387E-03  2.3453716797993E-01  0.0000000000000E+00  2.8858755207420E-01 -8.7403839451939E-03
 1.2094671592905E+00  8.5464645975267E-03  2.3113007016801E-01  0.0000000000000E+00  2.8725438415626E-01 -8.7116200077555E-03
 1.2212658866603E+00  8.5189506273242E-03  2.2775700602661E-01  0.0000000000000E+00  2.8590472440692E-01 -8.6818093452803E-03
 1.2330634169583E+00  8.4904149144699E-03  2.2441790852770E-01  0.0000000000000E+00  2.8453875115933E-01 -8.6509755091988E-03
 1.2448597545568E+00  8.4608795034429E-03  2.2111270577961E-01  0.0000000000000E+00  2.8315664907062E-01 -8.6191417237697E-03
 1.2566549039641E+00  8.4303661550729E-03  2.1784132110386E-01  0.0000000000000E+00  2.8175860902101E-01 -8.5863308936267E-03
 1.2684488698223E+00  8.3988963535631E-03  2.1460367311142E-01  0.0000000000000E+00  2.8034482800989E-01 -8.5525656118807E-03
 1.2802416569033E+00  8.3664913138367E-03  2.1139967577959E-01  0.0000000000000E+00  2.7891550904856E-01 -8.5178681678156E-03
 1.2920332701065E+00  8.3331719885961E-03  2.0822923852865E-01  0.0000000000000E+00  2.7747086105012E-01 -8.4822605540378E-03
 1.3038237144548E+00  8.2989590751532E-03  2.0509226629900E-01  0.0000000000000E+00  2.7601109871632E-01 -8.4457644744644E-03
 1.3156129950924E+00  8.2638730221879E-03  2.0198865962804E-01  0.0000000000000E+00  2.7453644242150E-01 -8.4084013514696E-03
 1.3274011172813E+00  8.2279340366351E-03  1.9891831472743E-01  0.0000000000000E+00  2.7304711809385E-01 -8.3701923327561E-03
 1.3391880863985E+00  8.1911620900066E-03  1.9588112356022E-01  0.0000000000000E+00  2.7154335709369E-01 -8.3311582989006E-03
 1.3509739079331E+00  8.1535769247900E-03  1.9287697391803E-01  0.0000000000000E+00  2.7002539608933E-01 -8.2913198698887E-03
 1.3627585874835E+00  8.1151980607635E-03  1.8990574949856E-01  0.0000000000000E+00  2.6849347693031E-01 -8.2506974120016E-03
 1.3745421307542E+00  8.0760448009642E-03  1.8696732998268E-01  0.0000000000000E+00  2.6694784651807E-01 -8.2093110443575E-03
 1.3863245435537E+00  8.0361362375032E-03  1.8406159111199E-01  0.0000000000000E+00  2.6538875667430E-01 -8.1671806452546E-03
 1.3981058317908E+00  7.9954912576302E-03  1.8118840476601E-01  0.0000000000000E+00  2.6381646400710E-01 -8.1243258584179E-03
 1.4098860014728E+00  7.9541285488093E-03  1.7834763903958E-01  0.0000000000000E+00  2.6223122977466E-01 -8.0807660992044E-03
 1.4216650587020E+00  7.9120666044045E-03  1.7553915832026E-01  0.0000000000000E+00  2.6063331974714E-01 -8.0365205601631E-03
 1.4334430096737E+00  7.8693237287773E-03  1.7276282336541E-01  0.0000000000000E+00  2.5902300406639E-01 -7.9916082169786E-03
 1.4452198606731E+00  7.8259180422698E-03  1.7001849137946E-01  0.0000000000000E+00  2.5740055710361E-01 -7.9460478339817E-03
 1.4569956180728E+00  7.7818674861032E-03  1.6730601609118E-01  0.0000000000000E+00  2.5576625731562E-01 -7.8998579690534E-03
 1.4687702883303E+00  7.7371898266972E-03  1.6462524783053E-01  0.0000000000000E+00  2.5412038709891E-01 -7.8530569793189E-03
 1.4805438779854E+00  7.6919026605942E-03  1.6197603360572E-01  0.0000000000000E+00  2.5246323264249E-01 -7.8056630255691E-03
 1.4923163936580E+00  7.6460234183260E-03  1.5935821717996E-01  0.0000000000000E+00  2.5079508377902E-01 -7.7576940771512E-03
 1.5040878420447E+00  7.5995693684191E-03  1.5677163914822E-01  0.0000000000000E+00  2.4911623383451E-01 -7.7091679166976E-03
 1.5158582299176E+00  7.5525576216182E-03  1.5421613701376E-01  0.0000000000000E+00  2.4742697947704E-01 -7.6601021438276E-03
 1.5276275641208E+00  7.5050051340325E-03  1.5169154526436E-01  0.0000000000000E+00  2.4572762056379E-01 -7.6105141798638E-03
 1.5393958515685E+00  7.4569287108948E-03  1.4919769544869E-01  0.0000000000000E+00  2.4401845998739E-01 -7.5604212716038E-03
 1.5511630992426E+00  7.4083450098878E-03  1.4673441625227E-01  0.0000000000000E+00  2.4229980352132E-01 -7.5098404946683E-03
 1.5629293141902E+00  7.3592705437669E-03  1.4430153357306E-01  0.0000000000000E+00  2.4057195966389E-01 -7.4587887575493E-03
 1.5746945035212E+00  7.3097216836565E-03  1.4189887059725E-01  0.0000000000000E+00  2.3883523948235E-01 -7.4072828043850E-03
