# ind =     1, ny =  2000, ndof =     5, ymax =  2.3387059397936E+01
 0.0000000000000E+00  9.8231827111984E-01  0.0000000000000E+00  0.0000000000000E+00  0.0000000000000E+00  1.0180000000000E+00
 6.4167849137279E-01  9.8555072698540E-01  4.1638002501121E-01  0.0000000000000E+00 -1.1009659170655E-01  1.0146611154748E+00
 6.5353619881730E-01  9.8564761289941E-01  4.2276283029327E-01  0.0000000000000E+00 -1.1093315774333E-01  1.0145613776290E+00
 6.6539273695120E-01  9.8574512462472E-01  4.2909925439268E-01  0.0000000000000E+00 -1.1173221732455E-01  1.0144610153468E+00
 6.7724809866114E-01  9.8584323194711E-01  4.3538941725469E-01  0.0000000000000E+00 -1.1249417350855E-01  1.0143600600928E+00
 6.8910227719823E-01  9.8594190517633E-01  4.4163343970018E-01  0.0000000000000E+00 -1.1321943269570E-01  1.0142585427700E+00
 7.0095526617146E-01  9.8604111513968E-01  4.4783144340715E-01  0.0000000000000E+00 -1.1390840449345E-01  1.0141564937263E+00
 7.1280705954132E-01  9.8614083317555E-01  4.5398355089340E-01  0.0000000000000E+00 -1.1456150158169E-01  1.0140539427617E+00
 7.2465765161337E-01  9.8624103112694E-01  4.6008988550050E-01  0.0000000000000E+00 -1.1517913957850E-01  1.0139509191352E+00
 7.3650703703201E-01  9.8634168133497E-01  4.6615057137882E-01  0.0000000000000E+00 -1.1576173690618E-01  1.0138474515713E+00
 7.4835521077425E-01  9.8644275663237E-01  4.7216573347389E-01  0.0000000000000E+00 -1.1630971465774E-01  1.0137435682674E+00
 7.6020216814359E-01  9.8654423033701E-01  4.7813549751374E-01  0.0000000000000E+00 -1.1682349646371E-01  1.0136392969004E+00
 7.7204790476399E-01  9.8664607624539E-01  4.8405998999748E-01  0.0000000000000E+00 -1.1730350835942E-01  1.0135346646342E+00
 7.8389241657389E-01  9.8674826862612E-01  4.8993933818489E-01  0.0000000000000E+00 -1.1775017865272E-01  1.0134296981259E+00
 7.9573569982036E-01  9.8685078221355E-01  4.9577367008716E-01  0.0000000000000E+00 -1.1816393779212E-01  1.0133244235334E+00
 8.0757775105330E-01  9.8695359220122E-01  5.0156311445854E-01  0.0000000000000E+00 -1.1854521823553E-01  1.0132188665221E+00
 8.1941856711968E-01  9.8705667423549E-01  5.0730780078916E-01  0.0000000000000E+00 -1.1889445431939E-01  1.0131130522718E+00
 8.3125814515799E-01  9.8716000440916E-01  5.1300785929871E-01  0.0000000000000E+00 -1.1921208212843E-01  1.0130070054839E+00
 8.4309648259261E-01  9.8726355925509E-01  5.1866342093113E-01  0.0000000000000E+00 -1.1949853936595E-01  1.0129007503878E+00
 8.5493357712836E-01  9.8736731573988E-01  5.2427461735028E-01  0.0000000000000E+00 -1.1975426522475E-01  1.0127943107481E+00
 8.6676942674513E-01  9.8747125125763E-01  5.2984158093636E-01  0.0000000000000E+00 -1.1997970025863E-01  1.0126877098715E+00
 8.7860402969255E-01  9.8757534362371E-01  5.3536444478342E-01  0.0000000000000E+00 -1.2017528625460E-01  1.0125809706130E+00
 8.9043738448473E-01  9.8767957106855E-01  5.4084334269748E-01  0.0000000000000E+00 -1.2034146610566E-01  1.0124741153835E+00
 9.0226948989516E-01  9.8778391223157E-01  5.4627840919568E-01  0.0000000000000E+00 -1.2047868368445E-01  1.0123671661556E+00
 9.1410034495156E-01  9.8788834615510E-01  5.5166977950602E-01  0.0000000000000E+00 -1.2058738371749E-01  1.0122601444708E+00
 9.2592994893095E-01  9.8799285227839E-01  5.5701758956801E-01  0.0000000000000E+00 -1.2066801166026E-01  1.0121530714457E+00
 9.3775830135467E-01  9.8809741043170E-01  5.6232197603396E-01  0.0000000000000E+00 -1.2072101357307E-01  1.0120459677787E+00
 9.4958540198355E-01  9.8820200083041E-01  5.6758307627096E-01  0.0000000000000E+00 -1.2074683599772E-01  1.0119388537563E+00
 9.6141125081313E-01  9.8830660406925E-01  5.7280102836357E-01  0.0000000000000E+00 -1.2074592583508E-01  1.0118317492594E+00
 9.7323584806896E-01  9.8841120111657E-01  5.7797597111707E-01  0.0000000000000E+00 -1.2071873022347E-01  1.0117246737697E+00
 9.8505919420198E-01  9.8851577330874E-01  5.8310804406140E-01  0.0000000000000E+00 -1.2066569641801E-01  1.0116176463759E+00
 9.9688128988393E-01  9.8862030234455E-01  5.8819738745554E-01  0.0000000000000E+00 -1.2058727167094E-01  1.0115106857794E+00
 1.0087021360029E+00  9.8872477027976E-01  5.9324414229256E-01  0.0000000000000E+00 -1.2048390311283E-01  1.0114038103011E+00
 1.0205217336589E+00  9.8882915952168E-01  5.9824845030510E-01  0.0000000000000E+00 -1.2035603763487E-01  1.0112970378864E+00
 1.0323400841594E+00  9.8893345282391E-01  6.0321045397131E-01  0.0000000000000E+00 -1.2020412177219E-01  1.0111903861119E+00
 1.0441571890154E+00  9.8903763328105E-01  6.0813029652124E-01  0.0000000000000E+00 -1.2002860158819E-01  1.0110838721906E+00
 1.0559730499367E+00  9.8914168432363E-01  6.1300812194369E-01  0.0000000000000E+00 -1.1982992256004E-01  1.0109775129776E+00
 1.0677876688282E+00  9.8924558971301E-01  6.1784407499336E-01  0.0000000000000E+00 -1.1960852946526E-01  1.0108713249761E+00
 1.0796010477856E+00  9.8934933353648E-01  6.2263830119841E-01  0.0000000000000E+00 -1.1936486626950E-01  1.0107653243425E+00
 1.0914131890914E+00  9.8945290020235E-01  6.2739094686824E-01  0.0000000000000E+00 -1.1909937601543E-01  1.0106595268916E+00
 1.1032240952109E+00  9.8955627443521E-01  6.3210215910169E-01  0.0000000000000E+00 -1.1881250071295E-01  1.0105539481024E+00
 1.1150337687885E+00  9.8965944127122E-01  6.3677208579534E-01  0.0000000000000E+00 -1.1850468123058E-01  1.0104486031230E+00
 1.1268422126436E+00  9.8976238605356E-01  6.4140087565216E-01  0.0000000000000E+00 -1.1817635718814E-01  1.0103435067757E+00
 1.1386494297670E+00  9.8986509442793E-01  6.4598867819021E-01  0.0000000000000E+00 -1.1782796685074E-01  1.0102386735618E+00
 1.1504554233171E+00  9.8996755233813E-01  6.5053564375168E-01  0.0000000000000E+00 -1.1745994702412E-01  1.0101341176670E+00
 1.1622601966163E+00  9.9006974602177E-01  6.5504192351185E-01  0.0000000000000E+00 -1.1707273295133E-01  1.0100298529655E+00
 1.1740637531475E+00  9.9017166200608E-01  6.5950766948830E-01  0.0000000000000E+00 -1.1666675821080E-01  1.0099258930255E+00
 1.1858660965500E+00  9.9027328710377E-01  6.6393303455012E-01  0.0000000000000E+00 -1.1624245461587E-01  1.0098222511128E+00
 1.1976672306168E+00  9.9037460840899E-01  6.6831817242717E-01  0.0000000000000E+00 -1.1580025211572E-01  1.0097189401962E+00
 1.2094671592905E+00  9.9047561329347E-01  6.7266323771937E-01  0.0000000000000E+00 -1.1534057869777E-01  1.0096159729515E+00
 1.2212658866603E+00  9.9057628940259E-01  6.7696838590589E-01  0.0000000000000E+00 -1.1486386029165E-01  1.0095133617655E+00
 1.2330634169583E+00  9.9067662465171E-01  6.8123377335441E-01  0.0000000000000E+00 -1.1437052067459E-01  1.0094111187408E+00
 1.2448597545568E+00  9.9077660722247E-01  6.8545955733023E-01  0.0000000000000E+00 -1.1386098137848E-01  1.0093092556993E+00
 1.2566549039641E+00  9.9087622555922E-01  6.8964589600524E-01  0.0000000000000E+00 -1.1333566159837E-01  1.0092077841868E+00
 1.2684488698223E+00  9.9097546836560E-01  6.9379294846685E-01  0.0000000000000E+00 -1.1279497810270E-01  1.0091067154763E+00
 1.2802416569033E+00  9.9107432460106E-01  6.9790087472672E-01  0.0000000000000E+00 -1.1223934514507E-01  1.0090060605722E+00
 1.2920332701065E+00  9.9117278347765E-01  7.0196983572927E-01  0.0000000000000E+00 -1.1166917437767E-01  1.0089058302140E+00
 1.3038237144548E+00  9.9127083445672E-01  7.0599999336003E-01  0.0000000000000E+00 -1.1108487476642E-01  1.0088060348795E+00
 1.3156129950924E+00  9.9136846724582E-01  7.0999151045375E-01  0.0000000000000E+00 -1.1048685250774E-01  1.0087066847891E+00
 1.3274011172813E+00  9.9146567179566E-01  7.1394455080221E-01  0.0000000000000E+00 -1.0987551094705E-01  1.0086077899085E+00
 1.3391880863985E+00  9.9156243829711E-01  7.1785927916183E-01  0.0000000000000E+00 -1.0925125049904E-01  1.0085093599525E+00
 1.3509739079331E+00  9.9165875717830E-01  7.2173586126087E-01  0.0000000000000E+00 -1.0861446856963E-01  1.0084114043882E+00
 1.3627585874835E+00  9.9175461910182E-01  7.2557446380636E-01  0.0000000000000E+00 -1.0796555947974E-01  1.0083139324379E+00
 1.3745421307542E+00  9.9185001496197E-01  7.2937525449072E-01  0.0000000000000E+00 -1.0730491439081E-01  1.0082169530827E+00
 1.3863245435537E+00  9.9194493588206E-01  7.3313840199792E-01  0.0000000000000E+00 -1.0663292123215E-01  1.0081204750653E+00
 1.3981058317908E+00  9.9203937321186E-01  7.3686407600931E-01  0.0000000000000E+00 -1.0594996463009E-01  1.0080245068927E+00
 1.4098860014728E+00  9.9213331852501E-01  7.4055244720900E-01  0.0000000000000E+00 -1.0525642583898E-01  1.0079290568395E+00
 1.4216650587020E+00  9.9222676361660E-01  7.4420368728889E-01  0.0000000000000E+00 -1.0455268267405E-01  1.0078341329507E+00
 1.4334430096737E+00  9.9231970050074E-01  7.4781796895313E-01  0.0000000000000E+00 -1.0383910944603E-01  1.0077397430439E+00
 1.4452198606731E+00  9.9241212140822E-01  7.5139546592220E-01  0.0000000000000E+00 -1.0311607689783E-01  1.0076458947126E+00
 1.4569956180728E+00  9.9250401878426E-01  7.5493635293648E-01  0.0000000000000E+00 -1.0238395214289E-01  1.0075525953285E+00
 1.4687702883303E+00  9.9259538528624E-01  7.5844080575936E-01  0.0000000000000E+00 -1.0164309860560E-01  1.0074598520440E+00
 1.4805438779854E+00  9.9268621378158E-01  7.6190900117974E-01  0.0000000000000E+00 -1.0089387596354E-01  1.0073676717949E+00
 1.4923163936580E+00  9.9277649734559E-01  7.6534111701411E-01  0.0000000000000E+00 -1.0013664009161E-01  1.0072760613025E+00
 1.5040878420447E+00  9.9286622925946E-01  7.6873733210800E-01  0.0000000000000E+00 -9.9371743008163E-02  1.0071850270765E+00
 1.5158582299176E+00  9.9295540300817E-01  7.7209782633695E-01  0.0000000000000E+00 -9.8599532823012E-02  1.0070945754165E+00
 1.5276275641208E+00  9.9304401227858E-01  7.7542278060684E-01  0.0000000000000E+00 -9.7820353687360E-02  1.0070047124150E+00
 1.5393958515685E+00  9.9313205095752E-01  7.7871237685369E-01  0.0000000000000E+00 -9.7034545745707E-02  1.0069154439592E+00
 1.5511630992426E+00  9.9321951312983E-01  7.8196679804285E-01  0.0000000000000E+00 -9.6242445089673E-02  1.0068267757334E+00
